GateZoneID,GateZoneName,AreaID
1,Gate 1,1
2,Gate 2,1
3,Gate 3,1
4,Gate 5,1
5,Gate 21,1
6,Gate 47,1
7,Gate 48,1
8,Gate 49,2
9,Gate 50,2
10,Gate 51,2
11,Gate 52,2
12,Gate 53,2
13,Gate 57,2
14,Gate 59,2
15,Gate 73,3
16,Gate 74,3
17,Gate 75,3
18,Gate 76,3
19,Gate 77,3
20,Gate 79,3
21,Gate 81,3
22,Gate 82,3
23,Gate 84,3
24,Arrival Level,4
25,Arrivals,4
26,Close to Check Point A,5
27,Common Zone - Arrivals,4
28,Directly connected to MontrŽal-Trudeau Airport,5
29,Eastern side,5
30,Facing Check Point A,5
31,Luggage Zone,6
32,Mobile,4
33,Near Checkpoint A,5
34,Near MBCo,5
35,Nearby Domestic Area,4
36,Nearby Transborder Area,4
37,New Commercial Area,5
38,New Commercial Zone,5
39,Transborder/International,4
40,USA Departure,5
