PlaceID,CategoryID,GateZoneID
1,2,27
2,6,10
3,1,20
4,7,4
4,7,12
4,7,23
5,6,10
6,2,33
7,2,1
8,6,14
9,2,18
10,6,37
11,6,15
11,6,38
12,3,4
13,3,39
14,6,38
15,6,30
16,2,38
17,7,35
18,2,38
19,4,1
19,4,11
19,4,17
20,6,5
21,6,19
22,7,24
22,7,9
22,7,18
22,7,31
22,7,34
22,7,38
22,7,40
23,7,6
23,7,12
24,6,1
24,6,11
24,6,40
25,6,13
25,6,37
26,1,21
27,3,11
27,3,15
28,6,20
29,2,12
30,2,13
30,2,16
30,2,22
31,6,30
32,2,22
33,2,21
34,7,27
35,6,2
36,7,28
37,6,15
38,5,12
39,7,32
39,7,36
40,6,11
41,2,25
41,2,29
41,2,2
41,2,7
41,2,11
41,2,18
41,2,38
42,3,7
42,3,23
43,7,37
44,6,38
45,6,26
45,6,6
45,6,15
46,6,27
47,2,10
48,6,37
49,6,9
49,6,20
50,2,38
51,3,27
51,3,3
52,2,38
53,6,12
54,6,11
55,2,13
56,7,1
56,7,8
56,7,18
57,6,20
58,6,10
