PlaceID,PlaceName
1,Airport Florist
2,Archibald microbrasserie
3,Bagel Bar
4,BALNEA Spa Voyage
5,Bar Voyageurs
6,Bentley
7,Bizou
8,Boulevard Rapide
9,Boutique Artizan
10,Brûlerie St-Denis
11,Burger King
12,Café Bar Bon Voyage
13,Café Bar Le Métropole
14,Café Vasco da Gama
15,Casey's
16,Cirque du Soleil
17,Cloakroom
18,Découvrir Montréal
19,Duty Free - The Loop
20,Escale Air Canada
21,Houston
22,ICE - Currency Exchange
23,iStore
24,Java U Café
25,Jogo Juice
26,Le Bar Sportif
27,Les Délices de l'Érable
28,Lesters Deli Express
29,Lolë
30,Maison de la Presse
31,MBCo - La boulangerie de Montréal
32,MC Electronique
33,Metalsmiths Sterling
34,Mini Marché
35,Moe's Deli & Bar
36,Montreal Airport Marriott In-Terminal Hotel
37,Montréal en Scène
38,National  Bank World MasterCard Lounge - VIP Lounge
39,Porter Services
40,Pronto! Mercato
41,Relay
42,Second Cup
43,Secure Bag
44,St-Hubert Express
45,Starbucks
46,Subway
47,Sunglass Hut
48,Sushi Shop
49,Tatami Sushi
50,The Source
51,Tim Hortons
52,Tristan
53,U-Bar
54,Vino Volo
55,Virgin Book Store
56,Walter's Shoe Care
57,Wienstein & Gavino's
58,YUL Pizza
